Station_Name,GroupName,Owner_Name,Operators_Name,Connection_Type,Generation_Type,Operating_Capacity,Fuel_Name,Primary_Efficiency,Secondary_Fuel,Secondary_Efficiency,Date_Commissioned,Year,Installed_Capacity,Max_Unit_Size,Typical_Annual_GWh,Generating_Units,Thermal_Operating_Stockpile,Hydro_Max_m3_Storage,Hydro_Max_GWh_Storage,Node_Name,Region_Name,Island_Name,Comments,Decommission_Date,Data_Source,GroupOrder,CDSName
Roaring Meg,,Pioneer Generation,Trustpower,Embedded,Hydro,4.2,Hydro,0,Not Applicable,0,1936,1936,4.2,1.5 MW,29,,,0,,CML0331,OTG - Otago/Southland,SI - South Island,"The scheme was originally commissioned in 1936 and is made up of an upper and lower station. The intake dam is located 3.6km upstream of the confluence with the Kawarau River. The 10 metre high intake dam feeds a series of pipelines terminating at the stations, which each house two turbines. The lower station discharges directly into the Kawarau River while the upper station discharges both into a pipeline feeding the lower station and the Roaring Meg Stream",,"Electricity Commission,EMS (Reconciliation Manager List),www.qldc.govt.nz, www.centrallakestrust.org.nz",,GEN.Hydro.RoaringMeg
Rochfort ,,Kawatiri Energy,Kawatiri Energy,Embedded,Hydro,4.2,Hydro,0,Not Applicable,0,Jul 2013,2013,4.2,4.2 MW,20,1 x 4.2 MW,,0,,ORO1101,WEC - West Coast,SI - South Island,,, www.energynews.co.nz,,No current series
Rosedale Landfill,,EnviroWaste,Mighty River Power,Embedded,Other,2.8,Biogas,0,Not Applicable,0,1992,1992,2.8,0.92 MW,22,3 x 0.92 MW,,0,,ALB0331,NIS - North Isthmus,NI - North Island,,,"Electricity Commission,EMS (Reconciliation Manager List),www.entec.co.nz,CDS",,GEN.Thermal.Auckland.Rosedale
Rotokawa,,Mighty River Power,Mighty River Power,Embedded,Geothermal,33,Geothermal,0,Not Applicable,0,Sep 1997,1997,34,16 MW,210,"1 x 16 MW, 4 x 6.5 MW",,0,,WRK0331,WTO - Waikato,NI - North Island,"The Rotokawa power station is part of a joint venture between Mighty River Power and Tauhara North No.2 Trust. It includes the generation plant owned by Mighty River Power, and wells that tap the steam field which are owned by Rotokawa Joint Venture Ltd. The nominal capacity of Rotokawa was initially 25MW, but has since been expanded to 34MW. The output of the binary units is highly dependent on ambient air temperature as they use a low boiling point (34C) hydrocarbon heated by exhaust steam to drive the secondary turbines. Units : 1 16MW back pressure steam turbine, 4 6.5MW binary units.",,"EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List),www.mightyriverpower.co.nz",,GEN.Geothermal.Rotokawa.Wairakei
Roxburgh,Clutha Hydro Scheme,Contact Energy,Contact Energy,Grid Connected,Hydro,320,Hydro,0.388,Not Applicable,0,1956,1956,320,40 MW,1610,,,0,,ROX1101,OTG - Otago/Southland,SI - South Island,"Roxburgh injects on 110kv and 220kv buses, ROX1101 and ROX2201, 3 units and 5 units respectively. The first of Roxburgh's eight generators was commissioned in 1956, the last in 1962. The power station has a capacity of 320 megawatts. Roxburgh is a concrete gravity dam, and with the powerhouse, contains about half a million cubic metres of concrete, weighing 1.5 million tonnes. The lake formed by the dam covers an area of nearly six square kilometres",," www.mycontact.co.nz,Electricity Commission,EMS (Reconciliation Manager List)",,"GEN.Hydro.Clutha.Roxburgh.110KV,GEN.Hydro.Clutha.Roxburgh.220KV"
Ruahihi,Kaimai Hydro Power Scheme,Trustpower,Trustpower,Embedded,Hydro,20,Hydro,0,Not Applicable,0,1981,1981,20,10 MW,76,2 x 10 MW,,0,,TGA0331,BOP - Bay Of Plenty,NI - North Island,"The Ruahihi Power Station is situated on the Wairoa River adjacent to SH29. Ruahihi is the third and largest section of the overall scheme. Construction contracts were let in mid 1977, and the station was commissioned in 1981, but a failure in the feed canal later that year required major rebuilding. The station was recommissioned in 1983. The reservoir for this station is Lake McLaren and the canal links the reservoir to the station. Lake McLaren was formed in 1925 by the construction of a 26m high concrete arch dam across the lower Mangapapa River to operate the now decommissioned McLarens Falls Power Station. Water from the lake passes through a gated inlet structure into a 2.5 kilometre long canal. The construction of the canal involved moving 2, 400, 000 cubic metres of soil at depths up to 46 m below original ground level, making it one of the larger canals in New Zealand. The depth of the water in this canal is 6m and the width at normal operating level is 30m. Flow velocities are up to 0.9m per second depending on machine settings and water levels. Transition from the canal to penstock is a forebay which again has screens, a cleaner and control gates. Downstream of the forebay is a 1.6km low pressure conduit leading to twin high pressure penstock pipes down the escarpment and under State Highway 29 into the power house.",,"Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Kaimai.1
Silverstream Landfill,,Mighty River Power,Mighty River Power,Embedded,Other,2.7,Biogas,0,Not Applicable,0,1994,1994,2.7,0.9 MW,13,3 x 0.9 MW,,0,,HAY0331,WEL - Wellington,NI - North Island,,,"PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List),www.entec.co.nz,CDS",,GEN.Thermal.Wellington.Silverstream
Simeon Quay,,Orion,Orion,Embedded,Backup generation,0.7,Unknown,0,Not Applicable,0,,,0.7,0.7 MW,0,,,0,,BRY0111,CAN - Canterbury,SI - South Island,Negligible GWh,,"Electricity Commission,EMS (Reconciliation Manager List),CDS",,GEN.Unknown.Christchurch.Bromley.SimeonQuay
South Pacific Cellars,,South Pacific Cellars,Trustpower,Embedded,Backup generation,0.2,Diesel,0,Not Applicable,0,,,0.2,0.2 MW,0,,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Blenheim.Riverlands.SouthPacific
Southbridge Wind,,Energy3,Meridian Energy,Embedded,Wind,0.1,Wind,0,Not Applicable,0,2005,2005,0.1,0.1 MW,0.4,1 x 0.1 MW,,0,,SPN0331,CAN - Canterbury,SI - South Island,,," windenergy.org.nz, EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Leeston
Southdown,,Mighty River Power,Mighty River Power,Grid Connected,Thermal,140,Gas,8250,Not Applicable,0,Dec 1996,1996,175,45 MW,400,"3 x 45 MW , 1 x 35 MW (although total is reported as 175MW)",,0,,SWN2201,AKL - Auckland,NI - North Island,The 35MW gas turbine was mothballed end of 2013. MRP have announced that the remaining units will be decommissioned at the end of 2015.,2015,"EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Thermal.Southdown
Southern Landfill,,Todd Energy,Todd Energy,Embedded,Other,1.1,Biogas,0,Not Applicable,0,,,1.1,1.1 MW,6,,,0,,CPK0331,WEL - Wellington,NI - North Island,GWh estimated based on capacity factors for other landfill based generation,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Wellington.Owhiro
"St Albans, Christchurch",,Christchurch City Council,Meridian Energy,Embedded,Unknown,0.2,Unknown,0,Not Applicable,0,,,0.2,0.2 MW,0,,,0,,PAP0661,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,EMS (Reconciliation Manager List),,GEN.Unknown.Christchurch.Papanui.StAlbans
Stratford Austral Pacific,,Austral Pacific Energy,Genesis Energy,Embedded,Unknown,1,Unknown,0,Not Applicable,0,,,1,1 MW,5,,,0,,SFD0331,TRN - Taranaki,NI - North Island,GWh and MW estimated from Centralised Dataset,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Stratford.Cheal
Stratford Peaker,,Contact Energy,Contact Energy,Grid Connected,Thermal,200,Gas,0,Not Applicable,0,2011,2011,200,100 MW,350,2 x 100 MW,,0,,SFD2201,TRN - Taranaki,NI - North Island,The two units are high efficiency LMS-100 gas turbine generators. Have assumed 20% utilisation to estimate GWh,, www.contactenergy.co.nz,,Gen.Thermal.Stratford
